Type,Arrival Date,Main Cabin Seats,Flight Number,Destination Code,Origin Airport,Miner Points,Origin Code,Business Class Price,Main Cabin Price,Departing Time,Duration,Surcharge,Origin Airport Lounge,Distance,Time Zone Difference,Arrival Time,Departing Date,Origin Airport State,Origin Airport Country,Origin Airport Fee,Destination Airport City,Food Served,Destination Airport State,Destination Airport Country,Destination Airport Fee,Destination Airport Lounge,Route Cost,Total Seats,ID,First Class Seats,Destination Airport,Business Class Seats,Origin Airport City,First Class Price,First Class Seats Sold,Business Class Seats Sold,Main Class Seats Sold,Total First Class Revenue,Total Business Class Revenue,Total Main Class Revenue
International,3/26/23,88,230360,ELP,Tokyo Haneda Airport,15966,HND,5233,1072,12:10 PM,725,14,true,5322,-16,8:15 AM,3/26/23,Honshu,Japan,6.0,El Paso,true,Texas,United States,3.5,false,51367,139,360,8,El Paso International Airport,43,Tokyo,6555,0,0,6,0,0,6516
Domestic,3/27/23,91,231361,DFW,El Paso International Airport,1102,ELP,1149,382,5:30 AM,94,0,false,551,1,8:04 AM,3/27/23,Texas,United States,3.5,Dallas,false,Texas,United States,3.0,true,11686,162,361,12,Dallas/Ft. Worth International Airport,59,El Paso,2448,0,5,8,0,5745,3056
Domestic,3/27/23,91,232362,DFW,El Paso International Airport,1102,ELP,1184,289,8:25 AM,94,0,false,551,1,10:59 AM,3/27/23,Texas,United States,3.5,Dallas,false,Texas,United States,3.0,true,11686,158,362,10,Dallas/Ft. Worth International Airport,57,El Paso,2942,0,3,0,0,3552,0
Domestic,3/27/23,68,233363,DFW,El Paso International Airport,1102,ELP,737,156,12:10 PM,94,0,false,551,1,2:44 PM,3/27/23,Texas,United States,3.5,Dallas,false,Texas,United States,3.0,true,11686,110,363,9,Dallas/Ft. Worth International Airport,33,El Paso,3159,0,10,17,0,7370,2652
Domestic,3/27/23,61,234364,ELP,Dallas/Ft. Worth International Airport,1102,DFW,609,206,5:30 AM,94,0,true,551,-1,6:04 AM,3/27/23,Texas,United States,3.0,El Paso,false,Texas,United States,3.5,false,19082,114,364,14,El Paso International Airport,39,Dallas,2612,0,6,33,0,3654,6798
Domestic,3/27/23,99,235365,ELP,Dallas/Ft. Worth International Airport,1102,DFW,851,152,8:25 AM,94,0,true,551,-1,8:59 AM,3/27/23,Texas,United States,3.0,El Paso,false,Texas,United States,3.5,false,19082,153,365,8,El Paso International Airport,46,Dallas,1844,1,6,3,1844,5106,456
Domestic,3/27/23,62,236366,ELP,Dallas/Ft. Worth International Airport,1102,DFW,933,193,12:10 PM,94,0,true,551,-1,12:44 PM,3/27/23,Texas,United States,3.0,El Paso,false,Texas,United States,3.5,false,19082,120,366,15,El Paso International Airport,43,Dallas,2014,0,10,26,0,9330,5018
Domestic,3/27/23,71,237367,LAX,El Paso International Airport,1428,ELP,582,308,5:30 AM,113,0,false,714,-1,6:23 AM,3/27/23,Texas,United States,3.5,Los Angeles,false,California,United States,4.0,true,14000,104,367,8,Los Angeles International Airport,25,El Paso,2534,0,16,19,0,9312,5852
Domestic,3/27/23,77,238368,LAX,El Paso International Airport,1428,ELP,1050,313,8:25 AM,113,0,false,714,-1,9:18 AM,3/27/23,Texas,United States,3.5,Los Angeles,false,California,United States,4.0,true,14000,135,368,8,Los Angeles International Airport,50,El Paso,1672,3,3,15,5016,3150,4695
Domestic,3/27/23,75,230369,LAX,El Paso International Airport,1428,ELP,858,466,12:10 PM,113,0,false,714,-1,1:03 PM,3/27/23,Texas,United States,3.5,Los Angeles,false,California,United States,4.0,true,14000,137,369,11,Los Angeles International Airport,51,El Paso,3037,0,6,23,0,5148,10718
Domestic,3/27/23,83,231370,ELP,Los Angeles International Airport,1428,LAX,1085,304,5:30 AM,113,0,true,714,1,8:23 AM,3/27/23,California,United States,4.0,El Paso,false,Texas,United States,3.5,false,10513,154,370,11,El Paso International Airport,60,Los Angeles,2778,1,2,12,2778,2170,3648
Domestic,3/27/23,83,232371,ELP,Los Angeles International Airport,1428,LAX,739,187,8:25 AM,113,0,true,714,1,11:18 AM,3/27/23,California,United States,4.0,El Paso,false,Texas,United States,3.5,false,10513,146,371,15,El Paso International Airport,48,Los Angeles,3254,0,0,11,0,0,2057
Domestic,3/27/23,99,233372,ELP,Los Angeles International Airport,1428,LAX,1198,417,12:10 PM,113,0,true,714,1,3:03 PM,3/27/23,California,United States,4.0,El Paso,false,Texas,United States,3.5,false,10513,131,372,0,El Paso International Airport,32,Los Angeles,1220,8,11,2,9760,13178,834
Domestic,3/27/23,84,234373,ORD,El Paso International Airport,2470,ELP,819,455,5:30 AM,176,0,false,1235,1,9:26 AM,3/27/23,Texas,United States,3.5,Chicago,false,Illinois,United States,4.5,true,10706,143,373,9,Chicago International Airport,50,El Paso,1715,2,6,13,3430,4914,5915
Domestic,3/27/23,59,235374,ORD,El Paso International Airport,2470,ELP,1068,141,8:25 AM,176,0,false,1235,1,12:21 PM,3/27/23,Texas,United States,3.5,Chicago,false,Illinois,United States,4.5,true,10706,127,374,14,Chicago International Airport,54,El Paso,3392,0,9,30,0,9612,4230
Domestic,3/27/23,98,236375,ORD,El Paso International Airport,2470,ELP,747,414,12:10 PM,176,0,false,1235,1,4:06 PM,3/27/23,Texas,United States,3.5,Chicago,false,Illinois,United States,4.5,true,10706,156,375,9,Chicago International Airport,49,El Paso,1694,6,0,6,10164,0,2484
Domestic,3/27/23,86,237376,ELP,Chicago International Airport,2470,ORD,1189,237,5:30 AM,176,0,true,1235,-1,7:26 AM,3/27/23,Illinois,United States,4.5,El Paso,false,Texas,United States,3.5,false,19778,136,376,11,El Paso International Airport,39,Chicago,1764,1,6,18,1764,7134,4266
Domestic,3/27/23,72,238377,ELP,Chicago International Airport,2470,ORD,574,163,8:25 AM,176,0,true,1235,-1,10:21 AM,3/27/23,Illinois,United States,4.5,El Paso,false,Texas,United States,3.5,false,19778,129,377,12,El Paso International Airport,45,Chicago,2760,0,11,28,0,6314,4564
Domestic,3/27/23,67,230378,ELP,Chicago International Airport,2470,ORD,690,264,12:10 PM,176,0,true,1235,-1,2:06 PM,3/27/23,Illinois,United States,4.5,El Paso,false,Texas,United States,3.5,false,19778,124,378,9,El Paso International Airport,48,Chicago,1378,0,16,28,0,11040,7392
Domestic,3/27/23,76,231379,ATL,El Paso International Airport,2560,ELP,736,537,5:30 AM,181,0,false,1280,2,10:31 AM,3/27/23,Texas,United States,3.5,Atlanta,false,Georgia,United States,4.5,true,11291,120,379,11,Hartsfield-Jackson Atlanta International Airport,33,El Paso,1491,0,8,17,0,5888,9129
Domestic,3/27/23,70,232380,ATL,El Paso International Airport,2560,ELP,951,249,8:25 AM,181,0,false,1280,2,1:26 PM,3/27/23,Texas,United States,3.5,Atlanta,false,Georgia,United States,4.5,true,11291,127,380,14,Hartsfield-Jackson Atlanta International Airport,43,El Paso,2357,0,7,15,0,6657,3735
Domestic,3/27/23,80,233381,ATL,El Paso International Airport,2560,ELP,982,131,12:10 PM,181,0,false,1280,2,5:11 PM,3/27/23,Texas,United States,3.5,Atlanta,false,Georgia,United States,4.5,true,11291,127,381,13,Hartsfield-Jackson Atlanta International Airport,34,El Paso,2625,0,12,20,0,11784,2620
Domestic,3/27/23,63,234382,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,911,381,5:30 AM,181,0,true,1280,-2,6:31 AM,3/27/23,Georgia,United States,4.5,El Paso,false,Texas,United States,3.5,false,10990,103,382,6,El Paso International Airport,34,Atlanta,2795,3,8,23,8385,7288,8763
Domestic,3/27/23,90,235383,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,1168,188,8:25 AM,181,0,true,1280,-2,9:26 AM,3/27/23,Georgia,United States,4.5,El Paso,false,Texas,United States,3.5,false,10990,165,383,15,El Paso International Airport,60,Atlanta,2279,0,4,8,0,4672,1504
Domestic,3/27/23,72,236384,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,776,260,12:10 PM,181,0,true,1280,-2,1:11 PM,3/27/23,Georgia,United States,4.5,El Paso,false,Texas,United States,3.5,false,10990,116,384,11,El Paso International Airport,33,Atlanta,1424,0,12,23,0,9312,5980
Domestic,3/27/23,96,237385,JFK,El Paso International Airport,3806,ELP,1172,527,5:30 AM,256,0,false,1903,2,11:46 AM,3/27/23,Texas,United States,3.5,New York,false,New York,United States,6.0,true,16215,131,385,10,John F. Kennedy International Airport,25,El Paso,1799,0,22,7,0,25784,3689
Domestic,3/27/23,70,238386,JFK,El Paso International Airport,3806,ELP,1038,350,8:25 AM,256,0,false,1903,2,2:41 PM,3/27/23,Texas,United States,3.5,New York,false,New York,United States,6.0,true,16215,131,386,11,John F. Kennedy International Airport,50,El Paso,3251,0,6,30,0,6228,10500
Domestic,3/27/23,63,230387,JFK,El Paso International Airport,3806,ELP,814,276,12:10 PM,256,0,false,1903,2,6:26 PM,3/27/23,Texas,United States,3.5,New York,false,New York,United States,6.0,true,16215,115,387,8,John F. Kennedy International Airport,44,El Paso,2979,0,12,26,0,9768,7176
Domestic,3/27/23,74,231388,ELP,John F. Kennedy International Airport,3806,JFK,928,541,5:30 AM,256,0,true,1903,-2,7:46 AM,3/27/23,New York,United States,6.0,El Paso,false,Texas,United States,3.5,false,12213,133,388,13,El Paso International Airport,46,New York,2836,2,3,18,5672,2784,9738
Domestic,3/27/23,97,232389,ELP,John F. Kennedy International Airport,3806,JFK,654,467,8:25 AM,256,0,true,1903,-2,10:41 AM,3/27/23,New York,United States,6.0,El Paso,false,Texas,United States,3.5,false,12213,162,389,12,El Paso International Airport,53,New York,2051,0,4,5,0,2616,2335
Domestic,3/27/23,67,233390,ELP,John F. Kennedy International Airport,3806,JFK,622,472,12:10 PM,256,0,true,1903,-2,2:26 PM,3/27/23,New York,United States,6.0,El Paso,false,Texas,United States,3.5,false,12213,118,390,10,El Paso International Airport,41,New York,2756,0,8,25,0,4976,11800
Domestic,3/27/23,63,234391,BOS,El Paso International Airport,4128,ELP,686,324,5:30 AM,275,0,false,2064,2,12:05 PM,3/27/23,Texas,United States,3.5,Boston,false,Massachusetts,United States,3.0,true,11994,112,391,13,Boston Logan International Airport,36,El Paso,2945,0,9,22,0,6174,7128
Domestic,3/27/23,87,235392,BOS,El Paso International Airport,4128,ELP,914,378,8:25 AM,275,0,false,2064,2,3:00 PM,3/27/23,Texas,United States,3.5,Boston,false,Massachusetts,United States,3.0,true,11994,143,392,7,Boston Logan International Airport,49,El Paso,2978,1,13,16,2978,11882,6048
Domestic,3/27/23,74,236393,BOS,El Paso International Airport,4128,ELP,1195,179,12:10 PM,275,0,false,2064,2,6:45 PM,3/27/23,Texas,United States,3.5,Boston,false,Massachusetts,United States,3.0,true,11994,114,393,9,Boston Logan International Airport,31,El Paso,2488,0,20,11,0,23900,1969
Domestic,3/27/23,75,237394,ELP,Logan International Airport,4128,BOS,1102,359,5:30 AM,275,0,true,2064,2,12:05 PM,3/27/23,Massachusetts,United States,3.0,El Paso,false,Texas,United States,3.5,false,15119,119,394,7,El Paso International Airport,37,Boston,1257,4,14,15,5028,15428,5385
Domestic,3/27/23,84,238395,ELP,Logan International Airport,4128,BOS,723,244,8:25 AM,275,0,true,2064,2,3:00 PM,3/27/23,Massachusetts,United States,3.0,El Paso,false,Texas,United States,3.5,false,15119,134,395,7,El Paso International Airport,43,Boston,1545,1,8,11,1545,5784,2684
Domestic,3/27/23,87,230396,ELP,Logan International Airport,4128,BOS,730,272,12:10 PM,275,0,true,2064,2,6:45 PM,3/27/23,Massachusetts,United States,3.0,El Paso,false,Texas,United States,3.5,false,15119,139,396,8,El Paso International Airport,44,Boston,3097,0,19,6,0,13870,1632
Domestic,3/27/23,91,231397,LAS,El Paso International Airport,1164,ELP,641,539,5:30 AM,97,0,false,582,-1,6:07 AM,3/27/23,Texas,United States,3.5,Las Vegas,false,Nevada,United States,3.5,true,17071,147,397,11,Harry Reid International Airport,45,El Paso,2208,0,9,6,0,5769,3234
Domestic,3/27/23,57,232398,LAS,El Paso International Airport,1164,ELP,723,272,8:25 AM,97,0,false,582,-1,9:02 AM,3/27/23,Texas,United States,3.5,Las Vegas,false,Nevada,United States,3.5,true,17071,114,398,12,Harry Reid International Airport,45,El Paso,1309,0,7,37,0,5061,10064
Domestic,3/27/23,65,233399,LAS,El Paso International Airport,1164,ELP,824,370,12:10 PM,97,0,false,582,-1,12:47 PM,3/27/23,Texas,United States,3.5,Las Vegas,false,Nevada,United States,3.5,true,17071,121,399,8,Harry Reid International Airport,48,El Paso,1740,0,12,21,0,9888,7770
Domestic,3/27/23,78,234400,ELP,Harry Reid International Airport,1164,LAS,555,343,5:30 AM,97,0,true,582,1,8:07 AM,3/27/23,Nevada,United States,3.5,El Paso,false,Texas,United States,3.5,false,16242,140,400,9,El Paso International Airport,53,Las Vegas,2255,0,4,26,0,2220,8918
Domestic,3/27/23,73,235401,ELP,Harry Reid International Airport,1164,LAS,844,261,8:25 AM,97,0,true,582,1,11:02 AM,3/27/23,Nevada,United States,3.5,El Paso,false,Texas,United States,3.5,false,16242,138,401,15,El Paso International Airport,50,Las Vegas,2831,0,8,12,0,6752,3132
Domestic,3/27/23,94,236402,ELP,Harry Reid International Airport,1164,LAS,747,517,12:10 PM,97,0,true,582,1,2:47 PM,3/27/23,Nevada,United States,3.5,El Paso,false,Texas,United States,3.5,false,16242,134,402,12,El Paso International Airport,28,Las Vegas,2160,0,13,5,0,9711,2585
International,3/27/23,86,237403,LHR,El Paso International Airport,15444,ELP,4958,1050,5:30 AM,645,13,false,5148,7,11:15 PM,3/27/23,Texas,United States,3.5,London,true,United Kingdom,England,5.0,true,66329,153,403,10,Heathrow Airport,57,El Paso,9595,0,1,8,0,4971,8504
International,3/28/23,86,238404,LHR,El Paso International Airport,15444,ELP,5534,610,8:25 AM,645,13,false,5148,7,2:10 AM,3/27/23,Texas,United States,3.5,London,true,United Kingdom,England,5.0,true,66329,144,404,9,Heathrow Airport,49,El Paso,4856,0,0,18,0,0,11214
International,3/28/23,87,230405,LHR,El Paso International Airport,15444,ELP,5390,1381,12:10 PM,645,13,false,5148,7,5:55 AM,3/27/23,Texas,United States,3.5,London,true,United Kingdom,England,5.0,true,66329,146,405,8,Heathrow Airport,51,El Paso,5376,0,0,0,0,0,0
International,3/27/23,81,231406,ELP,Heathrow Airport,15444,LHR,3166,1037,5:30 AM,645,13,false,5148,-7,9:15 AM,3/27/23,United Kingdom,England,5.0,El Paso,true,Texas,United States,3.5,false,72726,127,406,10,El Paso International Airport,36,London,5628,0,10,7,0,31790,7350
International,3/27/23,66,232407,ELP,Heathrow Airport,15444,LHR,2811,923,8:25 AM,645,13,false,5148,-7,12:10 PM,3/27/23,United Kingdom,England,5.0,El Paso,true,Texas,United States,3.5,false,72726,118,407,12,El Paso International Airport,40,London,7716,0,4,19,0,11296,17784
International,3/27/23,95,233408,ELP,Heathrow Airport,15444,LHR,5212,1074,12:10 PM,645,13,false,5148,-7,3:55 PM,3/27/23,United Kingdom,England,5.0,El Paso,true,Texas,United States,3.5,false,72726,148,408,13,El Paso International Airport,40,London,7058,0,2,5,0,10450,5435
International,3/27/23,95,234409,MEX,Abraham Gonzalez International Airport,2871,CJS,3573,920,5:30 AM,142,3,false,957,1,8:52 AM,3/27/23,Chihuahua,Mexico,2.5,Ciudad de Mexico,true,Distrito Federal,Mexico,4.5,false,71871,162,409,13,Aeropuerto Internacional Benito Juarez,54,Juarez,7151,0,0,2,0,0,1846
International,3/27/23,89,235410,MEX,Abraham Gonzalez International Airport,2871,CJS,3657,1225,8:25 AM,142,3,false,957,1,11:47 AM,3/27/23,Chihuahua,Mexico,2.5,Ciudad de Mexico,true,Distrito Federal,Mexico,4.5,false,71871,148,410,12,Aeropuerto Internacional Benito Juarez,47,Juarez,6293,0,0,0,0,0,0
International,3/27/23,85,236411,MEX,Abraham Gonzalez International Airport,2871,CJS,3384,724,12:10 PM,142,3,false,957,1,3:32 PM,3/27/23,Chihuahua,Mexico,2.5,Ciudad de Mexico,true,Distrito Federal,Mexico,4.5,false,71871,148,411,15,Aeropuerto Internacional Benito Juarez,48,Juarez,4500,0,0,19,0,0,13813
International,3/27/23,98,237412,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,3445,938,5:30 AM,142,3,false,957,-1,6:52 AM,3/27/23,Distrito Federal,Mexico,4.5,Juarez,true,Chihuahua,Mexico,2.5,false,56292,158,412,11,Abraham Gonzalez International Airport,49,Ciudad de Mexico,4050,1,0,3,4053,0,2823
International,3/27/23,78,238413,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,3851,1146,8:25 AM,142,3,false,957,-1,9:47 AM,3/27/23,Distrito Federal,Mexico,4.5,Juarez,true,Chihuahua,Mexico,2.5,false,56292,132,413,13,Abraham Gonzalez International Airport,41,Ciudad de Mexico,6932,0,0,17,0,0,19533
International,3/27/23,84,230414,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,3294,1012,12:10 PM,142,3,false,957,-1,1:32 PM,3/27/23,Distrito Federal,Mexico,4.5,Juarez,true,Chihuahua,Mexico,2.5,false,56292,144,414,11,Abraham Gonzalez International Airport,49,Ciudad de Mexico,4226,1,12,13,4229,39564,13195
Domestic,3/27/23,52,231415,LAX,Orlando International Airport,3854,ORL,743,122,5:30 AM,281,0,true,1927,-3,7:11 AM,3/27/23,Florida,United States,5.0,Los Angeles,false,California,United States,4.0,true,70024,102,415,8,Los Angeles International Airport,42,Orlando,2399,1,10,47,2399,7430,5734
Domestic,3/27/23,69,232416,LAX,Orlando International Airport,3854,ORL,922,148,8:25 AM,281,0,true,1927,-3,10:06 AM,3/27/23,Florida,United States,5.0,Los Angeles,false,California,United States,4.0,true,70024,124,416,12,Los Angeles International Airport,43,Orlando,1579,0,4,18,0,3688,2664
Domestic,3/27/23,73,233417,LAX,Orlando International Airport,3854,ORL,1094,241,12:10 PM,281,0,true,1927,-3,1:51 PM,3/27/23,Florida,United States,5.0,Los Angeles,false,California,United States,4.0,true,70024,127,417,11,Los Angeles International Airport,43,Orlando,1213,0,18,22,0,19692,5302
Domestic,3/27/23,85,234418,ORL,Los Angeles International Airport,3854,LAX,848,289,5:30 AM,281,0,true,1927,3,1:11 PM,3/27/23,California,United States,4.0,Orlando,false,Florida,United States,5.0,true,71901,152,418,14,Orlando International Airport,53,Los Angeles,3198,0,3,19,0,2544,5491
Domestic,3/27/23,87,235419,ORL,Los Angeles International Airport,3854,LAX,690,466,8:25 AM,281,0,true,1927,3,4:06 PM,3/27/23,California,United States,4.0,Orlando,false,Florida,United States,5.0,true,71901,144,419,7,Orlando International Airport,50,Los Angeles,1840,3,2,10,5520,1380,4660
Domestic,3/27/23,83,236420,ORL,Los Angeles International Airport,3854,LAX,773,489,12:10 PM,281,0,true,1927,3,7:51 PM,3/27/23,California,United States,4.0,Orlando,false,Florida,United States,5.0,true,71901,152,420,15,Orlando International Airport,54,Los Angeles,2100,0,4,7,0,3092,3423
Domestic,3/27/23,75,237421,LAX,Logan International Airport,4538,BOS,981,227,5:30 AM,326,0,true,2269,-3,7:56 AM,3/27/23,Massachusetts,United States,3.0,Los Angeles,true,California,United States,4.0,true,51587,137,421,13,Los Angeles International Airport,49,Boston,2652,1,7,24,2652,6867,5448
Domestic,3/27/23,79,238422,LAX,Logan International Airport,4538,BOS,843,528,8:25 AM,326,0,true,2269,-3,10:51 AM,3/27/23,Massachusetts,United States,3.0,Los Angeles,true,California,United States,4.0,true,51587,129,422,11,Los Angeles International Airport,39,Boston,1419,0,2,23,0,1686,12144
Domestic,3/27/23,80,230423,LAX,Logan International Airport,4538,BOS,741,138,12:10 PM,326,0,true,2269,-3,2:36 PM,3/27/23,Massachusetts,United States,3.0,Los Angeles,true,California,United States,4.0,true,51587,126,423,10,Los Angeles International Airport,36,Boston,3024,2,11,12,6048,8151,1656
Domestic,3/27/23,82,231424,BOS,Los Angeles International Airport,4538,LAX,681,406,5:30 AM,326,0,true,2269,3,1:56 PM,3/27/23,California,United States,4.0,Boston,true,Massachusetts,United States,3.0,true,51892,128,424,11,Boston Logan International Airport,35,Los Angeles,2198,0,16,5,0,10896,2030
Domestic,3/27/23,76,232425,BOS,Los Angeles International Airport,4538,LAX,781,488,8:25 AM,326,0,true,2269,3,4:51 PM,3/27/23,California,United States,4.0,Boston,true,Massachusetts,United States,3.0,true,51892,142,425,14,Boston Logan International Airport,52,Los Angeles,1284,0,0,24,0,0,11712
Domestic,3/27/23,92,233426,BOS,Los Angeles International Airport,4538,LAX,587,194,12:10 PM,326,0,true,2269,3,8:36 PM,3/27/23,California,United States,4.0,Boston,true,Massachusetts,United States,3.0,true,51892,122,426,6,Boston Logan International Airport,24,Los Angeles,3007,3,18,9,9021,10566,1746
International,3/27/23,101,234427,CUN,El Paso International Airport,3687,ELP,4455,1154,5:30 AM,190,4,false,1229,2,10:40 AM,3/27/23,Texas,United States,3.5,Cancun,true,Quintana Roo,Mexico,4.0,true,76340,165,427,14,Cancun International Airport,50,El Paso,7482,0,0,3,0,0,3474
International,3/27/23,93,235428,CUN,El Paso International Airport,3687,ELP,3259,1105,8:25 AM,190,4,false,1229,2,1:35 PM,3/27/23,Texas,United States,3.5,Cancun,true,Quintana Roo,Mexico,4.0,true,76340,150,428,12,Cancun International Airport,45,El Paso,6736,0,9,8,0,29367,8872
International,3/27/23,86,236429,CUN,El Paso International Airport,3687,ELP,4362,745,12:10 PM,190,4,false,1229,2,5:20 PM,3/27/23,Texas,United States,3.5,Cancun,true,Quintana Roo,Mexico,4.0,true,76340,153,429,11,Cancun International Airport,56,El Paso,9294,0,4,2,0,17464,1498
International,3/27/23,70,237430,ELP,Cancun International Airport,3687,CUN,6039,1006,5:30 AM,190,4,true,1229,-2,6:40 AM,3/27/23,Quintana Roo,Mexico,4.0,El Paso,true,Texas,United States,3.5,false,71648,129,430,15,El Paso International Airport,44,Cancun,6792,0,6,17,0,36258,17170
International,3/27/23,82,238431,ELP,Cancun International Airport,3687,CUN,3388,1090,8:25 AM,190,4,true,1229,-2,9:35 AM,3/27/23,Quintana Roo,Mexico,4.0,El Paso,true,Texas,United States,3.5,false,71648,136,431,9,El Paso International Airport,45,Cancun,6665,0,6,4,0,20352,4376
International,3/27/23,89,230432,ELP,Cancun International Airport,3687,CUN,3606,1087,12:10 PM,190,4,true,1229,-2,1:20 PM,3/27/23,Quintana Roo,Mexico,4.0,El Paso,true,Texas,United States,3.5,false,71648,137,432,13,El Paso International Airport,35,Cancun,8962,0,6,1,0,21660,1091
International,3/27/23,103,231433,YYZ,El Paso International Airport,4347,ELP,3127,1209,5:30 AM,219,4,false,1449,2,11:09 AM,3/27/23,Texas,United States,3.5,Toronto,true,Ontario,Canada,4.0,true,57452,168,433,12,Toronto Pearson International Airport,53,El Paso,4340,0,3,0,0,9393,0
International,3/27/23,89,232434,YYZ,El Paso International Airport,4347,ELP,3379,859,8:25 AM,219,4,false,1449,2,2:04 PM,3/27/23,Texas,United States,3.5,Toronto,true,Ontario,Canada,4.0,true,57452,157,434,9,Toronto Pearson International Airport,59,El Paso,13123,0,4,15,0,13532,12945
International,3/27/23,86,233435,YYZ,El Paso International Airport,4347,ELP,5032,1515,12:10 PM,219,4,false,1449,2,5:49 PM,3/27/23,Texas,United States,3.5,Toronto,true,Ontario,Canada,4.0,true,57452,144,435,14,Toronto Pearson International Airport,44,El Paso,7455,0,0,8,0,0,12152
International,3/27/23,90,234436,ELP,Toronto Pearson International Airport,4347,YYZ,4023,906,5:30 AM,219,4,true,1449,-2,7:09 AM,3/27/23,Ontario,Canada,4.0,El Paso,true,Texas,United States,3.5,false,64960,158,436,14,El Paso International Airport,54,Toronto,12423,0,0,4,0,0,3640
International,3/27/23,81,235437,ELP,Toronto Pearson International Airport,4347,YYZ,3130,652,8:25 AM,219,4,true,1449,-2,10:04 AM,3/27/23,Ontario,Canada,4.0,El Paso,true,Texas,United States,3.5,false,64960,146,437,7,El Paso International Airport,58,Toronto,10919,1,4,5,10923,12536,3280
International,3/27/23,87,236438,ELP,Toronto Pearson International Airport,4347,YYZ,5684,940,12:10 PM,219,4,true,1449,-2,1:49 PM,3/27/23,Ontario,Canada,4.0,El Paso,true,Texas,United States,3.5,false,64960,134,438,9,El Paso International Airport,38,Toronto,6819,0,2,7,0,11376,6608
International,3/28/23,83,237439,CDG,El Paso International Airport,13986,ELP,3832,842,5:30 AM,639,12,false,4662,8,12:09 AM,3/27/23,Texas,United States,3.5,Paris,true,Ill de France,France,5.0,true,67763,142,439,14,Paris Charles de Gaulle Airport,45,El Paso,5427,0,1,7,0,3844,5978
International,3/28/23,96,238440,CDG,El Paso International Airport,13986,ELP,4343,539,8:25 AM,639,12,false,4662,8,3:04 AM,3/27/23,Texas,United States,3.5,Paris,true,Ill de France,France,5.0,true,67763,153,440,8,Paris Charles de Gaulle Airport,49,El Paso,11098,0,9,4,0,39195,2204
International,3/28/23,83,230441,CDG,El Paso International Airport,13986,ELP,5152,1480,12:10 PM,639,12,false,4662,8,6:49 AM,3/27/23,Texas,United States,3.5,Paris,true,Ill de France,France,5.0,true,67763,151,441,15,Paris Charles de Gaulle Airport,53,El Paso,9101,0,5,13,0,25820,19396
International,3/27/23,88,231442,ELP,Paris Charles de Gaulle Airport,13986,CDG,3399,644,5:30 AM,639,12,true,4662,-8,8:09 AM,3/27/23,Ill de France,France,5.0,El Paso,true,Texas,United States,3.5,false,54532,151,442,12,El Paso International Airport,51,Paris,11829,0,5,8,0,17055,5248
International,3/27/23,90,232443,ELP,Paris Charles de Gaulle Airport,13986,CDG,5662,649,8:25 AM,639,12,true,4662,-8,11:04 AM,3/27/23,Ill de France,France,5.0,El Paso,true,Texas,United States,3.5,false,54532,144,443,9,El Paso International Airport,45,Paris,11565,0,0,4,0,0,2644
International,3/27/23,85,233444,ELP,Paris Charles de Gaulle Airport,13986,CDG,5258,1007,12:10 PM,639,12,true,4662,-8,2:49 PM,3/27/23,Ill de France,France,5.0,El Paso,true,Texas,United States,3.5,false,54532,136,444,10,El Paso International Airport,41,Paris,6976,0,4,8,0,21080,8152
International,3/28/23,68,234445,HND,El Paso International Airport,15966,ELP,3386,823,5:30 AM,725,14,false,5322,16,9:35 AM,3/27/23,Texas,United States,3.5,Tokyo,true,Honshu,Japan,6.0,true,75881,125,445,15,Tokyo Haneda Airport,42,El Paso,11565,0,0,26,0,0,21762
International,3/28/23,86,235446,HND,El Paso International Airport,15966,ELP,3863,993,8:25 AM,725,14,false,5322,16,12:30 PM,3/27/23,Texas,United States,3.5,Tokyo,true,Honshu,Japan,6.0,true,75881,146,446,10,Tokyo Haneda Airport,50,El Paso,4746,0,0,4,0,0,4028
International,3/28/23,96,236447,HND,El Paso International Airport,15966,ELP,3833,1288,12:10 PM,725,14,false,5322,16,4:15 PM,3/27/23,Texas,United States,3.5,Tokyo,true,Honshu,Japan,6.0,true,75881,152,447,11,Tokyo Haneda Airport,45,El Paso,10011,0,0,3,0,0,3906
International,3/27/23,88,237448,ELP,Tokyo Haneda Airport,15966,HND,5024,1252,5:30 AM,725,14,true,5322,-16,1:35 AM,3/27/23,Honshu,Japan,6.0,El Paso,true,Texas,United States,3.5,false,51367,137,448,11,El Paso International Airport,38,Tokyo,7504,0,7,8,0,35266,10128
International,3/27/23,89,238449,ELP,Tokyo Haneda Airport,15966,HND,4508,888,8:25 AM,725,14,true,5322,-16,4:30 AM,3/27/23,Honshu,Japan,6.0,El Paso,true,Texas,United States,3.5,false,51367,144,449,14,El Paso International Airport,41,Tokyo,4436,0,6,12,0,27132,10824
International,3/27/23,83,230450,ELP,Tokyo Haneda Airport,15966,HND,3881,956,12:10 PM,725,14,true,5322,-16,8:15 AM,3/27/23,Honshu,Japan,6.0,El Paso,true,Texas,United States,3.5,false,51367,149,450,12,El Paso International Airport,54,Tokyo,4653,0,1,13,0,3895,12610
